Time[s], Lat[deg], Lon[deg], he[m], vx[ms], vy[ms], vz[ms]
1497889674.7, 52.5457200, 13.3553550, 33.5, -0.000, 0.005, 0.000
1497889675.7, 52.5457200, 13.3553550, 33.5, -0.000, 0.000, 0.000
1497889676.7, 52.5457200, 13.3553550, 33.5, 0.000, 0.000, 0.000
1497889677.7, 52.5457200, 13.3553550, 33.5, 0.000, 0.000, 0.000
1497889678.7, 52.5457200, 13.3553550, 33.5, 0.000, 0.000, 0.000
1497889679.7, 52.5457200, 13.3553550, 33.5, -0.000, 0.000, 0.000
1497889680.7, 52.5457200, 13.3553550, 33.5, -0.000, -0.000, 0.000
1497889681.7, 52.5457200, 13.3553550, 33.4, -0.000, -0.000, -0.100
1497889682.7, 52.5457200, 13.3553550, 33.4, 0.000, -0.000, 0.000
1497889683.7, 52.5457200, 13.3553550, 33.4, 0.000, -0.000, 0.000
1497889684.7, 52.5457200, 13.3553550, 33.4, -0.000, -0.000, 0.000
1497889685.7, 52.5457200, 13.3553550, 33.4, -0.000, -0.000, 0.000
1497889686.7, 52.5457200, 13.3553550, 33.4, -0.000, 0.000, 0.000
1497889687.7, 52.5457200, 13.3553550, 33.4, -0.000, 0.000, 0.000
1497889688.7, 52.5457200, 13.3553550, 33.4, -0.000, 0.000, 0.000
1497889689.7, 52.5457183, 13.3553550, 33.4, -0.000, 0.000, 0.000
1497889690.7, 52.5457183, 13.3553550, 33.4, -0.000, -0.000, 0.000
1497889691.7, 52.5457183, 13.3553550, 33.4, -0.000, 0.000, 0.000
1497889692.7, 52.5457183, 13.3553550, 33.5, -0.000, -0.000, 0.100
1497889693.7, 52.5457183, 13.3553550, 33.5, -0.000, -0.000, 0.000
1497889694.7, 52.5457183, 13.3553550, 33.4, 0.000, 0.000, -0.100
1497889695.7, 52.5457183, 13.3553550, 33.4, -0.000, -0.000, 0.000
1497889696.7, 52.5457183, 13.3553550, 33.4, 0.000, -0.000, 0.000
1497889697.7, 52.5457183, 13.3553550, 33.3, -0.000, -0.000, -0.100
1497889698.7, 52.5457183, 13.3553550, 33.3, 0.000, 0.000, 0.000
1497889699.7, 52.5457183, 13.3553517, 33.2, 0.000, -0.000, -0.100
1497889700.7, 52.5457167, 13.3553517, 33.1, -0.000, 0.000, -0.100
1497889701.7, 52.5457167, 13.3553517, 33.1, -0.000, 0.000, 0.000
1497889702.8, 52.5457167, 13.3553517, 33.1, 0.000, 0.000, 0.000
1497889703.8, 52.5457167, 13.3553517, 33.1, 0.000, -0.000, 0.000
1497889704.8, 52.5457167, 13.3553517, 33.1, -0.000, -0.000, 0.000
1497889705.8, 52.5457167, 13.3553517, 33.1, -0.000, -0.000, 0.000
1497889706.8, 52.5457167, 13.3553517, 33.1, -0.000, 0.000, 0.000
1497889707.8, 52.5457167, 13.3553517, 33.1, -0.000, -0.000, 0.000
1497889708.8, 52.5457167, 13.3553517, 33.1, 0.000, 0.000, 0.000
1497889709.8, 52.5457167, 13.3553517, 33.1, 0.000, 0.000, 0.000
1497889710.8, 52.5457167, 13.3553517, 33.1, -0.000, -0.000, 0.000
1497889711.8, 52.5457167, 13.3553517, 33.1, -0.000, 0.000, 0.000
1497889712.8, 52.5457167, 13.3553517, 33.1, 0.000, 0.000, 0.000
1497889713.8, 52.5457167, 13.3553517, 33.1, 0.000, -0.000, 0.000
1497889714.8, 52.5457167, 13.3553517, 33.1, -0.000, -0.000, 0.000
1497889715.8, 52.5457167, 13.3553517, 33.1, 0.000, -0.000, 0.000
1497889716.8, 52.5457167, 13.3553517, 33.1, -0.000, 0.000, 0.000
1497889717.8, 52.5457167, 13.3553517, 33.1, -0.000, 0.000, 0.000
1497889718.8, 52.5457167, 13.3553533, 33.1, -0.000, 0.000, 0.000
1497889719.8, 52.5457167, 13.3553517, 33.0, -0.000, 0.000, -0.100
1497889720.8, 52.5457150, 13.3553517, 33.0, 0.000, 0.000, 0.000
1497889721.8, 52.5457150, 13.3553517, 33.0, -0.000, 0.000, 0.000
1497889722.8, 52.5457150, 13.3553517, 32.9, -0.000, 0.000, -0.100
1497889723.8, 52.5457133, 13.3553500, 32.8, 0.000, 0.000, -0.100
1497889724.8, 52.5457133, 13.3553517, 32.8, 0.000, 0.000, 0.000
1497889725.8, 52.5457133, 13.3553500, 32.7, -0.000, 0.000, -0.100
1497889726.8, 52.5457133, 13.3553517, 32.8, -0.000, 0.000, 0.100
1497889727.8, 52.5457133, 13.3553517, 32.8, 0.000, 0.000, 0.000
1497889728.8, 52.5457117, 13.3553517, 32.8, -0.000, 0.000, 0.000
1497889729.8, 52.5457117, 13.3553517, 32.7, -0.000, 0.000, -0.100
1497889730.8, 52.5457117, 13.3553500, 32.6, 0.000, -0.000, -0.100
1497889731.9, 52.5457100, 13.3553517, 32.7, -0.000, 0.000, 0.100
1497889732.9, 52.5457100, 13.3553517, 32.7, 0.000, -0.000, 0.000
1497889733.9, 52.5457100, 13.3553517, 32.7, -0.000, 0.000, 0.000
1497889734.9, 52.5457100, 13.3553533, 32.7, -0.000, 0.000, 0.000
1497889735.9, 52.5457083, 13.3553550, 32.7, 0.000, -0.000, 0.000
1497889736.9, 52.5457083, 13.3553533, 32.7, -0.000, 0.000, 0.000
1497889737.9, 52.5457083, 13.3553550, 32.7, -0.000, 0.000, 0.000
1497889738.9, 52.5457083, 13.3553550, 32.7, -0.000, 0.000, 0.000
1497889739.9, 52.5457067, 13.3553550, 32.7, -0.000, -0.000, 0.000
1497889740.9, 52.5457067, 13.3553533, 32.6, -0.000, 0.000, -0.100
1497889741.9, 52.5457067, 13.3553533, 32.6, 0.000, -0.000, 0.000
1497889742.9, 52.5457050, 13.3553533, 32.6, -0.000, 0.000, 0.000
1497889743.9, 52.5457050, 13.3553533, 32.6, -0.000, 0.000, 0.000
1497889744.9, 52.5457050, 13.3553533, 32.6, -0.000, 0.000, 0.000
1497889745.9, 52.5457033, 13.3553533, 32.6, -0.000, 0.000, 0.000
1497889746.9, 52.5457033, 13.3553533, 32.6, -0.000, 0.000, 0.000
1497889747.9, 52.5457033, 13.3553533, 32.6, 0.000, -0.000, 0.000
1497889748.9, 52.5457033, 13.3553533, 32.6, 0.000, 0.000, 0.000
1497889749.9, 52.5457017, 13.3553533, 32.7, 0.000, 0.000, 0.100
1497889750.9, 52.5457017, 13.3553550, 32.7, -0.000, -0.000, 0.000
1497889751.9, 52.5457017, 13.3553550, 32.7, 0.000, 0.000, 0.000
1497889752.9, 52.5457017, 13.3553550, 32.7, -0.000, -0.000, 0.000
1497889753.9, 52.5457017, 13.3553550, 32.7, 0.000, -0.000, 0.000
1497889754.9, 52.5457017, 13.3553550, 32.7, 0.000, -0.000, 0.000
1497889755.9, 52.5457017, 13.3553550, 32.8, 0.000, -0.000, 0.100
1497889756.9, 52.5457017, 13.3553550, 32.8, -0.000, -0.000, 0.000
1497889757.9, 52.5457017, 13.3553550, 32.9, 0.000, -0.000, 0.100
1497889758.9, 52.5457017, 13.3553550, 32.9, 0.000, -0.000, 0.000
1497889759.9, 52.5457033, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889760.9, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889762.0, 52.5457017, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889763.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889764.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889765.0, 52.5457017, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889766.0, 52.5457017, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889767.0, 52.5457017, 13.3553533, 32.9, -0.000, 0.000, 0.000
1497889768.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889769.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889770.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889771.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889772.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889773.0, 52.5457017, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889774.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889775.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889776.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889777.0, 52.5457017, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889778.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889779.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889780.0, 52.5457017, 13.3553533, 32.9, -0.000, 0.000, 0.000
1497889781.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889782.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889783.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889784.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889785.0, 52.5457017, 13.3553533, 32.9, -0.000, 0.000, 0.000
1497889786.0, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889787.0, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889788.1, 52.5457017, 13.3553533, 32.9, -0.000, -0.000, 0.000
1497889789.1, 52.5457017, 13.3553533, 32.9, 0.000, 0.000, 0.000
1497889790.1, 52.5457017, 13.3553533, 32.9, -0.000, 0.000, 0.000
1497889791.1, 52.5457017, 13.3553533, 32.9, 0.000, -0.000, 0.000
1497889792.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.100
1497889793.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889794.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.000
1497889795.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.000
1497889796.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889797.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.000
1497889798.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889799.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889800.1, 52.5457017, 13.3553533, 33.0, 0.000, 0.000, 0.000
1497889801.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889802.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889803.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889804.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889805.1, 52.5457017, 13.3553533, 33.0, -0.000, 0.000, 0.000
1497889806.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.000
1497889807.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889808.1, 52.5457017, 13.3553533, 33.0, -0.000, 0.000, 0.000
1497889809.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889810.1, 52.5457017, 13.3553533, 33.0, -0.000, 0.000, 0.000
1497889811.1, 52.5457017, 13.3553533, 33.0, -0.000, -0.000, 0.000
1497889812.1, 52.5457017, 13.3553533, 33.0, 0.000, 0.000, 0.000
1497889813.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.000
1497889814.1, 52.5457017, 13.3553533, 33.0, 0.000, -0.000, 0.000
1497889815.1, 52.5457000, 13.3553500, 33.1, -0.000, -0.000, 0.100
1497889816.2, 52.5457000, 13.3553517, 33.1, -0.000, -0.000, 0.000
1497889817.2, 52.5457000, 13.3553517, 33.2, -0.000, -0.000, 0.100
1497889818.2, 52.5457000, 13.3553517, 33.2, -0.000, -0.000, 0.000
1497889819.2, 52.5457017, 13.3553500, 33.3, -0.000, -0.000, 0.100
1497889820.2, 52.5457033, 13.3553483, 33.3, 0.000, -0.000, 0.000
1497889821.2, 52.5457033, 13.3553433, 33.3, 0.000, -0.000, 0.000
1497889822.2, 52.5457033, 13.3553467, 33.4, 0.000, -0.000, 0.100
1497889823.2, 52.5457033, 13.3553467, 33.5, 0.000, -0.000, 0.100
1497889824.2, 52.5457033, 13.3553433, 33.6, -0.000, -0.000, 0.100
1497889825.2, 52.5457033, 13.3553450, 33.6, 0.000, -0.000, 0.000
1497889826.2, 52.5457033, 13.3553467, 33.8, 0.000, -0.000, 0.200
1497889827.2, 52.5457033, 13.3553483, 33.9, -0.000, -0.000, 0.100
1497889828.2, 52.5457033, 13.3553500, 34.0, 0.000, 0.000, 0.100
1497889829.2, 52.5457033, 13.3553500, 34.1, 0.000, 0.000, 0.100
1497889830.2, 52.5457017, 13.3553500, 34.1, -0.000, 0.000, 0.000
1497889831.2, 52.5457017, 13.3553483, 34.2, 0.000, -0.000, 0.100
1497889832.2, 52.5457017, 13.3553467, 34.4, -0.000, -0.000, 0.200
1497889833.2, 52.5457017, 13.3553450, 34.5, 0.000, -0.000, 0.100
1497889834.2, 52.5457017, 13.3553417, 34.4, -0.000, -0.000, -0.100
1497889835.2, 52.5457033, 13.3553417, 34.5, 0.000, 0.000, 0.100
1497889836.2, 52.5457033, 13.3553400, 34.6, 0.000, -0.000, 0.100
1497889837.2, 52.5457017, 13.3553350, 34.7, -0.000, -0.000, 0.100
1497889838.2, 52.5457017, 13.3553383, 34.9, -0.000, 0.000, 0.200
1497889839.2, 52.5457017, 13.3553383, 35.0, -0.000, -0.000, 0.100
1497889840.2, 52.5457017, 13.3553350, 35.0, 0.000, -0.000, 0.000
1497889841.2, 52.5457000, 13.3553350, 35.0, -0.000, -0.000, 0.000
1497889842.2, 52.5457000, 13.3553350, 35.1, -0.000, 0.000, 0.100
1497889843.2, 52.5457000, 13.3553333, 35.2, 0.000, -0.000, 0.100
1497889844.3, 52.5457000, 13.3553317, 35.1, 0.000, -0.000, -0.100
1497889845.3, 52.5457000, 13.3553300, 35.2, -0.000, -0.000, 0.100
1497889846.3, 52.5457000, 13.3553283, 35.3, -0.000, -0.000, 0.100
1497889847.3, 52.5457000, 13.3553267, 35.3, 0.000, -0.000, 0.000
1497889848.3, 52.5457000, 13.3553267, 35.5, -0.000, 0.000, 0.200
1497889850.3, 52.5457033, 13.3553267, 35.6, 0.000, -0.000, 0.000
1497889851.3, 52.5457017, 13.3553233, 35.7, -0.000, -0.000, 0.100
1497889852.3, 52.5457033, 13.3553250, 35.8, -0.000, 0.000, 0.100
1497889853.3, 52.5457050, 13.3553267, 35.9, 0.000, 0.000, 0.100
1497889859.3, 52.5457117, 13.3553300, 36.4, -0.000, 0.000, 0.000
1497889860.3, 52.5457117, 13.3553300, 36.4, 0.000, 0.000, 0.000
1497889862.3, 52.5457133, 13.3553300, 36.5, 0.000, -0.000, 0.100
1497889895.4, 52.5457217, 13.3553350, 37.4, -0.000, -0.000, 0.100
1497889896.4, 52.5457250, 13.3553367, 37.5, 0.000, -0.000, 0.100
1497889900.5, 52.5457317, 13.3553433, 38.0, 0.000, 0.000, 0.100
1497889902.5, 52.5457350, 13.3553517, 38.4, 0.000, 0.000, 0.200
1497889904.5, 52.5457350, 13.3553517, 38.4, 0.000, -0.000, 0.000
1497889905.5, 52.5457367, 13.3553533, 38.4, -0.000, -0.000, 0.000
1497889906.5, 52.5457367, 13.3553550, 38.5, -0.000, -0.000, 0.100
1497889907.5, 52.5457383, 13.3553583, 38.7, -0.000, 0.000, 0.200
1497889909.5, 52.5457417, 13.3553633, 38.9, 0.000, 0.000, 0.100
1497889910.5, 52.5457450, 13.3553700, 38.9, 0.000, 0.000, 0.000
1497889911.5, 52.5457483, 13.3553733, 39.1, 0.000, -0.000, 0.200
1497889912.5, 52.5457500, 13.3553767, 39.2, 0.000, 0.000, 0.100
1497889914.5, 52.5457550, 13.3553800, 39.5, 0.000, -0.000, 0.100
1497889915.5, 52.5457567, 13.3553817, 39.6, 0.000, -0.000, 0.100
1497889916.5, 52.5457600, 13.3553850, 39.6, 0.000, 0.000, 0.000
1497889917.5, 52.5457617, 13.3553883, 39.7, 0.000, 0.000, 0.100
1497889919.5, 52.5457633, 13.3553917, 39.8, 0.000, -0.000, 0.100
1497889920.5, 52.5457650, 13.3553933, 39.8, -0.000, 0.000, 0.000
1497889921.5, 52.5457650, 13.3553950, 39.9, 0.000, -0.000, 0.100
1497889922.5, 52.5457667, 13.3553983, 40.0, 0.000, 0.000, 0.100
1497889924.5, 52.5457683, 13.3554067, 40.1, 0.000, 0.000, 0.000
1497889925.5, 52.5457683, 13.3554100, 40.2, 0.000, 0.000, 0.100
1497889926.5, 52.5457700, 13.3554100, 40.3, 0.000, -0.000, 0.100
1497889927.6, 52.5457683, 13.3554133, 40.3, -0.000, 0.000, 0.000
1497889929.6, 52.5457683, 13.3554167, 40.5, 0.000, -0.000, 0.100
1497889930.6, 52.5457700, 13.3554183, 40.7, -0.000, 0.000, 0.200
1497889931.6, 52.5457700, 13.3554183, 40.6, -0.000, 0.000, -0.100
1497889932.6, 52.5457700, 13.3554183, 40.6, -0.000, -0.000, 0.000
1497889934.6, 52.5457700, 13.3554183, 40.6, -0.000, 0.000, 0.000
1497889935.6, 52.5457700, 13.3554183, 40.6, 0.000, 0.000, 0.000
